acc,CpCpos2,CpCpos2_low95CI,CpCpos2_high95CI,CpCbridge,CpCbridge_low95CI,CpCbridge_high95CI,CpGpos1,CpGpos1_low95CI,CpGpos1_high95CI,CpGpos2,CpGpos2_low95CI,CpGpos2_high95CI,CpGbridge,CpGbridge_low95CI,CpGbridge_high95CI,CpUpos1,CpUpos1_low95CI,CpUpos1_high95CI,CpUpos2,CpUpos2_low95CI,CpUpos2_high95CI,CpUbridge,CpUbridge_low95CI,CpUbridge_high95CI,CpApos2,CpApos2_low95CI,CpApos2_high95CI,CpAbridge,CpAbridge_low95CI,CpAbridge_high95CI,GpCpos2,GpCpos2_low95CI,GpCpos2_high95CI,GpCbridge,GpCbridge_low95CI,GpCbridge_high95CI,GpGpos2,GpGpos2_low95CI,GpGpos2_high95CI,GpGbridge,GpGbridge_low95CI,GpGbridge_high95CI,GpUpos2,GpUpos2_low95CI,GpUpos2_high95CI,GpUbridge,GpUbridge_low95CI,GpUbridge_high95CI,GpApos2,GpApos2_low95CI,GpApos2_high95CI,GpAbridge,GpAbridge_low95CI,GpAbridge_high95CI,UpCpos1,UpCpos1_low95CI,UpCpos1_high95CI,UpCpos2,UpCpos2_low95CI,UpCpos2_high95CI,UpCbridge,UpCbridge_low95CI,UpCbridge_high95CI,UpGpos2,UpGpos2_low95CI,UpGpos2_high95CI,UpGbridge,UpGbridge_low95CI,UpGbridge_high95CI,UpUpos1,UpUpos1_low95CI,UpUpos1_high95CI,UpUpos2,UpUpos2_low95CI,UpUpos2_high95CI,UpUbridge,UpUbridge_low95CI,UpUbridge_high95CI,UpApos2,UpApos2_low95CI,UpApos2_high95CI,UpAbridge,UpAbridge_low95CI,UpAbridge_high95CI,ApCpos2,ApCpos2_low95CI,ApCpos2_high95CI,ApCbridge,ApCbridge_low95CI,ApCbridge_high95CI,ApGpos1,ApGpos1_low95CI,ApGpos1_high95CI,ApGpos2,ApGpos2_low95CI,ApGpos2_high95CI,ApGbridge,ApGbridge_low95CI,ApGbridge_high95CI,ApUpos2,ApUpos2_low95CI,ApUpos2_high95CI,ApUbridge,ApUbridge_low95CI,ApUbridge_high95CI,ApApos2,ApApos2_low95CI,ApApos2_high95CI,ApAbridge,ApAbridge_low95CI,ApAbridge_high95CI
MZ358857,0.1862042306319931,0.141423617994097,0.1967533673080837,0.1342133734864375,0.1241133877725002,0.1790674410056766,0.5106382978723404,0.499239046518487,0.6340588258219384,0.1266761572105315,0.1759753993560252,0.2420743318350187,0.1484494230951673,0.1816470409556794,0.2346845805388049,0.5816326530612245,0.5244107365033788,0.6331402839047844,0.2255480035635777,0.1941504952371394,0.2506975746931075,0.1295044231460206,0.1099574034623123,0.1568604395680313,0.3630204506540341,0.215648566312864,0.2697110682465828,0.1635921204230078,0.1159556740659029,0.1581730792614558,0.1156726943120018,0.1444577883672239,0.189587635069192,0.1410625031385143,0.1547770556821057,0.2243750755566014,0.2127238778009004,0.272055085174684,0.3544587891654606,0.244696181870741,0.2519474118270369,0.3282573648846831,0.1696674355268148,0.1915059173570463,0.2458095286051909,0.1558650244485187,0.1459938815044889,0.2074982098736209,0.5332232236851762,0.2770915013236318,0.3748739085338644,0.1523538515810392,0.164799557598484,0.217675878948118,0.7615062761506276,0.5553229246304506,0.6858486234867035,0.1731512166611644,0.1598922712680388,0.2088037438850377,0.2266985680951208,0.1667014394003027,0.2349246051635292,0.4074456628875201,0.2827128734193936,0.357724799443032,0.3494923835390671,0.2419150714925961,0.3008703286764891,0.5201093821075443,0.4776117185709502,0.5673217604865906,0.2907942834068271,0.2188190960514675,0.2693514149421225,0.2141932947956271,0.1481619134070065,0.1992738637440785,0.2148013124316442,0.310696652938411,0.3783470816060373,0.0872614172170319,0.1590301518276889,0.2037676347611063,0.4967880085653105,0.3884307399805524,0.4743101593770496,0.233587242069521,0.178237852252181,0.2479386507779573,0.3412879673000367,0.3531890920090144,0.4498410669462668,0.3370288248337028,0.4203050496284482,0.5074998284203318,0.3586628014596284,0.2863282848444261,0.3534350493851156,0.5032119914346895,0.5256898406229501,0.6115692600194474,0.2215922025100979,0.1692561494327512,0.2285391272088461,0.6629711751662972,0.4925001715796682,0.5796949503715518,0.2916509546064103,0.1850587687230855,0.2435511366841518
MG703253,0.338809821194584,0.1449172502205077,0.2551233962796904,0.1739185422274853,0.1087882017179263,0.2230467517281044,0.275,0.4633599750864374,0.6823900249135622,0.1567355724176938,0.1817405044512045,0.3207750030591925,0.177641806226803,0.1834952055972724,0.2885336418661213,0.826086956521739,0.5784344837911896,0.7796089944696801,0.1551644999458954,0.1056765546283035,0.2113234507087913,0.1787152537087166,0.0653983101811544,0.1593061878939693,0.2608779049416322,0.1923778462318507,0.3033787055898326,0.2763837939476269,0.122933136187538,0.2103266506594863,0.1268693384977133,0.1291604598859987,0.2320809976523415,0.2152175685521362,0.2001255412212324,0.3031345283040645,0.3993543295883597,0.3024046721469589,0.447425201320053,0.4896426837123294,0.2897550090490227,0.4069762434299168,0.0600789406512447,0.0922039581312977,0.1972976703831209,0.1161811862879261,0.112262263422254,0.2316904372003245,0.4034015917299591,0.2559023977820195,0.3982299840462637,0.2433364202276342,0.190168255564508,0.2954688715768846,0.7105263157894736,0.380291905494708,0.6876028313473976,0.2987885960569124,0.1618546611603684,0.2661823128700587,0.09436731357412,0.0829405883182966,0.1742508657604534,0.5312134348437909,0.3199612967892148,0.462820515863167,0.1292745758154109,0.1347216299856294,0.2341438946559653,0.2318285205115364,0.2750479958842834,0.46211852191455,0.1060496586059843,0.1070659011106388,0.2182662787816382,0.0477562572772348,0.0486379413399705,0.1248447435058693,0.2138015991708675,0.2845487665861383,0.4084719753600497,0.112061261485351,0.0956327006638257,0.1736608086584631,0.6689655172413794,0.4888477683081071,0.6358418868643065,0.2331043039087847,0.181270877642668,0.2943831102338366,0.5921642508147186,0.3515130527911105,0.5264828423124943,0.6388888888888888,0.4157615928417821,0.5842384071582178,0.302737432635723,0.2847963384180693,0.3820576934178094,0.3310344827586207,0.3641581131356936,0.5111522316918929,0.0920791026005162,0.0993737237380281,0.2141989824940341,0.3611111111111111,0.4157615928417822,0.584238407158218,0.2109134773491952,0.1684144912999323,0.2749667575386217
NC_018713,0.2126069235609693,0.1498147588801391,0.1966623489729284,0.1573597629501947,0.1170460056258207,0.173687335641623,0.0796019900497512,0.4575284134815259,0.578491487015986,0.084227872308882,0.1953942212106945,0.2464048555863666,0.1013263322108323,0.1805403942274931,0.2253701465750955,0.6807387862796834,0.568555541766727,0.6463257247240377,0.2286714597613251,0.1617242260614292,0.2140089060255403,0.1443166356942729,0.0981918013746557,0.1498744491777117,0.3142639051133167,0.2485780109656019,0.3010889160624599,0.2269110204437991,0.1399239637637873,0.1768239236414052,0.1315894197577483,0.1424795021866642,0.194356169217712,0.1590433232560762,0.1806926540599387,0.2389868278928091,0.4422994327716693,0.2783472038732729,0.3471926383856172,0.2962787322962737,0.2688899262916805,0.3201164122198736,0.1447356157273085,0.157529454788441,0.2146692335605092,0.1576548788890466,0.1489763377735622,0.2001269715772151,0.3085483743256328,0.3242221691580382,0.4014886491561537,0.2596011993514202,0.202807363706773,0.2481032440423941,0.5027027027027027,0.4795147851357629,0.6318365662155888,0.1543883884705038,0.1546728123880973,0.200054818529864,0.1012648886636869,0.1352915627494679,0.1834223765371219,0.4148038356248654,0.2915327712924502,0.3495970853055364,0.2601307324898316,0.2026371603554548,0.2509593455818141,0.3959344035987128,0.4264714421391678,0.495482188841419,0.1633933756083228,0.1763690034109482,0.222073976251561,0.0831493744847056,0.1100725167160138,0.1594431309165654,0.3748293263493211,0.3526742236589093,0.4131052348738544,0.1692704788293048,0.1531514592740047,0.1961333359437473,0.5864406779661016,0.4334137018904399,0.5172981625163394,0.2135422988016563,0.2293585786936276,0.2797606270998737,0.7083895583194255,0.4113908947278023,0.5148419172447631,0.4666666666666666,0.4124270911403056,0.4822988347856204,0.4086189135697277,0.3305751887216779,0.3921499116063766,0.4135593220338983,0.4827018374836604,0.5665862981095601,0.1845732677618065,0.1779231193754958,0.2435257847832402,0.5333333333333332,0.5177011652143797,0.5875729088596944,0.2738553221671996,0.2465410853224741,0.2981077137066591
MW194893,0.1280698252734292,0.1015431039503599,0.1632325952373277,0.0688317392635089,0.0774030136197687,0.1340402196470487,0.2846153846153846,0.3394873146955377,0.5049742237660002,0.0496002436556741,0.1132607618047257,0.1724705543166266,0.1045674787435872,0.1381715378112144,0.1938028978773792,0.44,0.4538665781962206,0.5619879672583249,0.3485418262653036,0.1888105629371698,0.2625935891886316,0.1007052114630976,0.0907172754859219,0.1420537087495413,0.2912889405189955,0.2844050374780837,0.3569317250483113,0.1816390517411954,0.1208168500225111,0.1591027229503209,0.0880488049996289,0.0913525031897364,0.150238116324449,0.0864678876985619,0.0971238368765886,0.1583503935567639,0.1269538841961242,0.1834464754669344,0.2864038220450688,0.0930061806227839,0.170682706830709,0.2341537956155579,0.2117678729993473,0.1697166575931935,0.2453235935461422,0.0818933980223265,0.1107158550577481,0.1707432096285751,0.5966127112420921,0.3902416985229183,0.5228908388800287,0.1237149013842515,0.1411982067176468,0.188830216300014,0.5888324873096447,0.5204215162164049,0.6758221386059301,0.1311571239996983,0.1200566471939805,0.1599114340013409,0.1890828813705035,0.1480215355114998,0.2131701029983851,0.1896399541544258,0.1931712746960969,0.2716792947364065,0.3690958969987417,0.2478265074767396,0.3157452280216593,0.6501535432631964,0.5531602293771734,0.6391281495154428,0.2864443886179956,0.2086097705079145,0.2662103479925065,0.277608115655609,0.1679503423531471,0.2269595062594822,0.4295678247361917,0.4335395734935907,0.5062973514468598,0.2466482607420878,0.2114778688331852,0.2632181865233565,0.4006211180124224,0.3371051978067058,0.4078948021932941,0.2347990877061376,0.2370710345151369,0.3146860258870698,0.5069477735027874,0.39719181139495,0.5173202492102222,0.2181528662420382,0.27733396488714,0.3423794109090383,0.498979124568136,0.4100599744467268,0.475812210866643,0.5993788819875776,0.592105197806706,0.6628948021932943,0.2983143859033169,0.2570721576228796,0.3391617727709473,0.7818471337579619,0.6576205890909619,0.72266603511286,0.3479984552330101,0.3228337649483067,0.3874965933324436
NC_033725,0.2206604952583409,0.1387870825864565,0.1896564575539457,0.1676895124138177,0.1153455704534837,0.1705630790812929,0.2834224598930481,0.4843366327326397,0.6159842228823331,0.0591010755223332,0.2038400902395184,0.26590017621055,0.0774128835560829,0.1807943885959744,0.2341591604801103,0.6470588235294119,0.5403625737948592,0.6423171647672337,0.2410927072215825,0.1738272613942316,0.2237390110847037,0.1357007561673254,0.0969813936364137,0.1451724471923941,0.3217940656894625,0.201438278036737,0.2602191056764482,0.2513718847857386,0.1183024492311444,0.1622149203168807,0.1533444355818355,0.1424529108919414,0.196179226747635,0.1700920479415033,0.1815959640681446,0.2514965769076038,0.2796605852823599,0.3111419893423285,0.3974236914930752,0.2936041113225087,0.3015080192561391,0.3595339648854732,0.1579583907068082,0.182530254110414,0.2360754893504601,0.1429227667806506,0.1577036996898304,0.2223227361982709,0.4747607700316248,0.27347796955927,0.3493098501860335,0.2045245897573624,0.2013496705965093,0.2563882406842891,0.6081081081081081,0.5097338776078154,0.6370228791489415,0.1912983438892214,0.1516976994831243,0.2039214432472271,0.1621672739642432,0.1436625791280779,0.2090231060972689,0.5339573129889592,0.334656075827751,0.4034022513893712,0.3656846241807375,0.2200246381577644,0.2725679399952973,0.4279021644514002,0.432094507737836,0.5222377817316678,0.2248065908103078,0.1865181703216824,0.2405561910307918,0.1440403045366389,0.1216458634391008,0.1744153416416627,0.1514439967273036,0.3040395536302216,0.3687327552960244,0.1138133808127606,0.149202002377961,0.1978556491306017,0.4699570815450643,0.4053086011594203,0.4999274503427257,0.1653675792842582,0.1734046752958468,0.2408801495621055,0.536332844808897,0.3908384923647143,0.4830624111334606,0.5189075630252101,0.4555478544456312,0.5424773556384023,0.3428634789772584,0.2785302840117192,0.3413717475654289,0.5300429184549356,0.5000725496572744,0.59469139884058,0.1949757419054832,0.1482932278929424,0.2058316866081393,0.4810924369747898,0.4575226443615976,0.5444521455543687,0.2427403469017843,0.1911112683471803,0.2444555155929367
OM451124,0.2297589027698188,0.1786561156896434,0.2292158076508242,0.1724761973888857,0.1576141928673368,0.2147333413280925,0.4183006535947712,0.5676119800629076,0.7291200460808829,0.1013095624160145,0.2058190264484953,0.2604371371197496,0.1419051056880343,0.2064757208697716,0.2658619129598846,0.6038461538461538,0.5742342668988443,0.6919965023319254,0.3064184518530522,0.2084056238787427,0.2549726003166701,0.1788105304934736,0.1244963354973475,0.1762695738508687,0.2582278991816788,0.1874995603047252,0.2494353681907898,0.1848068388453058,0.1209762802091319,0.1701598827627753,0.173161025390683,0.1629025884399245,0.2287695569840544,0.1843324700120975,0.1868338758642002,0.2581494384334555,0.352826267256032,0.2871640135182858,0.3647988086468376,0.2766133979184061,0.2763999933801294,0.3461228172130966,0.204545352139832,0.1877431404331114,0.2541779401320089,0.1529805120690749,0.1454306415552504,0.2018800935623329,0.2674938357628745,0.2285552242581191,0.3123472037164372,0.1521705115934891,0.1438347042880859,0.1990120745537416,0.6787564766839379,0.5857802986730136,0.7194010484772451,0.2001176373401876,0.1806844879158566,0.2403692055850867,0.21835378146435,0.1809719148751358,0.2458918807584239,0.4283734655309238,0.2880238382099064,0.371384002290061,0.3268829449122359,0.234941133965198,0.2934345786396816,0.4790254914877584,0.4029728675121857,0.5045734529183868,0.2323376667919105,0.2099456366584693,0.2693360890102764,0.1812056255568306,0.1473989839370688,0.1960671972885975,0.2225861121128641,0.2602889566473694,0.3284869647392749,0.1759414639226201,0.1368883977298829,0.1889433185606745,0.4662756598240469,0.423429839419661,0.5233150286155297,0.1442603180771708,0.16936918318201,0.2334910238794507,0.4351808681132864,0.2990628663733479,0.399451972606533,0.4969879518072288,0.4572964013905993,0.5740891407780755,0.3330626393507703,0.2514688517645733,0.3132219767218073,0.5337243401759529,0.4766849713844703,0.5765701605803388,0.1389478813025633,0.1242825126650047,0.1872235803666132,0.5030120481927711,0.4259108592219246,0.5427035986094008,0.1730543974386434,0.1340536893725129,0.1788227799652781
OM480523,0.1431103705823795,0.0930435613124474,0.1529824787887428,0.1047950096120438,0.0703476537533149,0.1220350648857257,0.0666666666666666,0.3174174190655294,0.4994159142678037,0.046436119801965,0.1388940183149768,0.2012327952085371,0.0539824801904898,0.1223248763458381,0.1703305065164003,0.4640522875816994,0.4433053873431565,0.5495704296503078,0.2108045311759372,0.1782720996271615,0.2392861322700808,0.1040039828470365,0.0832094722939316,0.1313860580271551,0.3562131570510113,0.2644344265040779,0.3373394149846447,0.1643745838489254,0.1048306822416799,0.1450594602022173,0.0915799816590134,0.0982233209594313,0.1575048317462899,0.1040666035127826,0.1163218128851763,0.1786279712866647,0.3261329133718014,0.2389086514638916,0.3211758217009983,0.2071440073387818,0.2241949172078791,0.292906301148952,0.190497209962192,0.1773188753320528,0.246857584832872,0.1430870816840177,0.1337485169180683,0.2005278974183288,0.45399693177524,0.3610096163944076,0.467021258038626,0.1898655020100815,0.1817126230394535,0.2348084766096701,0.4367816091954023,0.4710931484091416,0.6161482309012032,0.1123362580016841,0.102125415443196,0.1462450650718918,0.1154741360059838,0.1394148209571113,0.1951946379120406,0.3292214962236705,0.2507472036835135,0.3242455978562701,0.2511516234619846,0.2096323626172905,0.2845460672782511,0.605505279997689,0.5328055941793447,0.6231423929255698,0.1866046447207058,0.1845154306845123,0.2436709957849495,0.1682794079085706,0.1556765452742582,0.2046240532396741,0.4633798993068388,0.4147293071758131,0.4869432972385196,0.211011769411249,0.187594919285855,0.2373041957355303,0.346311475409836,0.3302217853739696,0.4080159195440632,0.1934758683129583,0.2068631569037375,0.2832196320304876,0.6919530476171075,0.452561005336089,0.5542518752555133,0.3080645161290323,0.3307262675369731,0.4103705066565752,0.5352649622936541,0.383908297290136,0.4648347957377829,0.653688524590164,0.5919840804559366,0.6697782146260303,0.2797309040575531,0.2422856542746882,0.3090873336561532,0.6919354838709678,0.589629493343425,0.6692737324630269,0.3920628495332272,0.3127272142296085,0.3775824622682018
LC516844,0.214421829159299,0.1723639402875112,0.2177507253344715,0.2125946847911244,0.1554645771695535,0.2122269405130319,0.626923076923077,0.5643500498394581,0.683419180929773,0.0891604085746689,0.1804581766756204,0.225507804562325,0.2697687725946083,0.2312782562731327,0.2722567295557277,0.6919060052219321,0.5850876630256492,0.6734501959821841,0.3656962072722464,0.209243520943962,0.2582525482433514,0.1705718061496423,0.1325711384742872,0.1771506489546503,0.1687140830354265,0.2133293433237501,0.2547259503062452,0.2479700612151485,0.1391535004638364,0.1785377783552618,0.226698282030191,0.1572311010663089,0.2057844817940817,0.1468309059460644,0.1770897569215701,0.2355731813689885,0.1837893511116569,0.2624049938248955,0.3286707914714286,0.1693023517262703,0.2470472409419021,0.2951040840011393,0.2753556896827416,0.188733971467798,0.238348673529678,0.1254742738118754,0.1485486879683481,0.1943301358502033,0.2591476108037187,0.2710556793969118,0.3484342828745044,0.1092179972358204,0.1454284748543957,0.186016135585897,0.5921052631578947,0.6126917336248034,0.7116240558488804,0.3117047739757477,0.1956921789976675,0.2397599990331361,0.2848621517885781,0.1922957795368873,0.2451280183073582,0.2388146678223271,0.2747379967086127,0.3303329479475458,0.4095021299719698,0.2728279035706107,0.3220697057408125,0.4323009415428183,0.4474436711179283,0.5199438754574274,0.3292980334709383,0.2383524461119417,0.284881588310953,0.2271387331249158,0.1607654758814482,0.2082683316070142,0.1954128733039528,0.2957986587291658,0.3525502280559047,0.2381495737197786,0.1671739649789787,0.2104422249745443,0.5216881594372802,0.4252694625375678,0.4946367508270286,0.2072910389844011,0.2000099294347112,0.2550803017168953,0.3946024204424033,0.3156000704023868,0.3893071431668552,0.4992805755395685,0.4237979206569314,0.498993446249543,0.2636122226882443,0.2764601461355659,0.3280723123475685,0.4783118405627197,0.5053632491729717,0.5747305374624324,0.1101330259454433,0.1636719276970759,0.2157263830146431,0.5007194244604316,0.5010065537504568,0.5762020793430686,0.1327472256471984,0.1711906388191385,0.2113550438773544
MT762108,0.2137093125196966,0.1618404945780478,0.2116271851468714,0.1718743787492049,0.1381879951892699,0.1932541236421901,0.509090909090909,0.517993073952298,0.6571887442295203,0.1226551782604572,0.2129760346810666,0.2742991910061676,0.1311497193144662,0.2039780274097796,0.2599096235141276,0.6353790613718413,0.5703177807013834,0.696108212078402,0.20732349814328,0.1703110130852798,0.2196104631092234,0.1347496680478419,0.1040203056463126,0.1580075140569747,0.3271205896935295,0.2056957468451467,0.263843550687885,0.2380107159043034,0.1301666773662726,0.1742742009941136,0.1785853331344549,0.1536281247194717,0.2100747299703767,0.1892570279704837,0.194780558822698,0.2668442567022508,0.2680267322941777,0.3161786938109899,0.3901902281728827,0.2428409641229134,0.2894414512623607,0.3576153626535101,0.1586064621656291,0.165587003395239,0.219920004230955,0.1834640967200157,0.1514553609839148,0.2153037949848611,0.4677139767454437,0.2732419198305774,0.3490297945893538,0.2051029865767333,0.1937015619477942,0.243555205600649,0.6190476190476191,0.5264872304625411,0.6484651504898408,0.1975774283801053,0.1798318103465534,0.2330229262383898,0.1705681925760868,0.1440176886137512,0.208597077576948,0.4735980579453711,0.3327952269963614,0.4064784578215068,0.3238267117781538,0.2124288900014091,0.2669528956867335,0.4411298859068061,0.3877134146260575,0.4983568352381899,0.2153798852252397,0.1872977028261275,0.2396159376556459,0.1067723616769395,0.115126234524861,0.1584248642198107,0.22015184616304,0.2917854692113483,0.3532872856565013,0.1103268298111304,0.1406071853027309,0.179690154078004,0.5437100213219614,0.4512396334130621,0.527395761043228,0.2269706050563486,0.1844330183073652,0.2466685157926863,0.4370773617254268,0.3643797953200394,0.4605507125472265,0.5144927536231882,0.455141168125475,0.5618636627923989,0.3901588338173133,0.2629246686059438,0.3301406740493264,0.4562899786780384,0.4726042389567723,0.5487603665869382,0.2097431967178616,0.1387239171588211,0.1996000035990709,0.4855072463768117,0.438136337207601,0.5448588318745249,0.1929633341423752,0.1752327693428904,0.2305628989954475
MW561135,0.4058450829978302,0.2728795589727953,0.3143126889397929,0.4522296800976295,0.2782058621703645,0.3373674961067406,0.7352941176470589,0.6801335690787189,0.7890821171957902,0.1394108219223393,0.2176393161783046,0.2638637805924401,0.4718116003292712,0.3351766783340217,0.3877840716194011,0.9197080291970804,0.7482279210422749,0.8264679427046828,0.1040716657259502,0.1370364351983292,0.1774481216879435,0.1687183753815412,0.1327108462573178,0.1812655124410553,0.2073863106650362,0.18826343864157,0.2284874858526925,0.3960933033074666,0.1735458488703064,0.2195363966829721,0.4831567948177993,0.2498263468335229,0.3080527378928699,0.285200459636018,0.2318858125457882,0.2863070778823599,0.2218161015021799,0.2951356477410291,0.3600275571330663,0.2290809109746734,0.2806608796247473,0.3242785865751796,0.0878295582533085,0.1314516560099402,0.1715120319049894,0.0824218722928515,0.1069891026373505,0.146730214509714,0.2117946133734417,0.2207655074143006,0.2848844723293268,0.0986672397947165,0.1444234135652313,0.1831115734002999,0.5,0.5973119533335719,0.7045423513021914,0.5202799929406681,0.3115071062239404,0.3673551841191159,0.0907200914604722,0.1416430392799981,0.1867051943299378,0.3331644689506309,0.2824091401657938,0.345636083088025,0.1997355744337987,0.178460392347431,0.2134770677506641,0.1597827345990823,0.2449640399822489,0.3164417426434813,0.1692825885228593,0.1621375275931416,0.2060129911078582,0.0471441013911855,0.0676322481577305,0.1017274243370087,0.0697075120298539,0.2340363402879774,0.2847192111218343,0.0346244917036721,0.089838242133435,0.1213209346386966,0.8317757009345796,0.6128981217926164,0.6875291145224709,0.1775284422257874,0.1919253798035181,0.2420098522356041,0.3638781805128398,0.2625080372592623,0.3388161310376327,0.573208722741433,0.4995686424520057,0.5793410148688666,0.2121022846127645,0.2314096282340086,0.2749542696514898,0.1682242990654205,0.3124708854775293,0.3871018782073838,0.0439874474934771,0.085793353218786,0.1241120371278855,0.426791277258567,0.4206589851311335,0.5004313575479944,0.1149236385509263,0.1133450088827483,0.1561808979743495
